Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
This=That 2.0,2009,,turing complete,unimplemented,,languages
Flump,,,,,,languages
ReactionCan,,,,,,languages
Wheat,2009,,turing complete,output only; implemented,,low-level; languages
BFI,2009,,turing complete; turing tarpits,implemented,stack-based; cell-based,languages; low-level; brainfuck derivatives
DUP,2005,,turing complete,implemented,stack-based,languages; low-level
Auo,2009,,,implemented,stack-based,languages
Addleq,2009,,turing complete,implemented,,languages
Clue (Keymaker),2009,,unknown computational class,no io; implemented,,low-level; languages
P1eq,2009,,,implemented,,languages
Norfuck,,,finite state automata,implemented; no io,,languages
Suffolk,2009,,turing complete,implemented,,languages
VD3,2009,,turing complete,unusable for programming; implemented,,languages
Suzy,2009,,turing complete,usability unknown; implemented,multi-dimensional languages,languages; stubs
QUOTE,,,,implemented,,languages
Grits,2009,,,implemented,,languages
Stacking,2009,,turing complete,implemented,stack-based,languages; low-level
Sammich,,,,,,languages
6ix,2009,,unknown computational class,implemented; usability unknown,,languages
Challenger,2003,,,implemented,,languages; two-dimensional languages
Fact,2009,,turing complete,implemented,,languages
XSM,2009,,turing complete,,,languages
Proof,2019,,,unimplemented,,languages
